Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,0,prac,1,0,z,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),130858.79999999981,I,m,1505,1,1,16.bmp,-120,-120,17.bmp,120,-120,18.bmp,-120,120,19.bmp,120,120,10326.700000000186,120532.09999999963,8006,yes,SM,B,16.bmp,-120,-120,121212,115184,123229,117197,,,,,1
3,0,0,1,0,1,prac,1,1,m,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),141355.5,I,m,1679,2,1,20.bmp,-120,-120,21.bmp,120,-120,22.bmp,-120,120,23.bmp,120,120,10492.800000000745,130862.69999999925,8006,no,SM,B,23.bmp,-120,120,131542,125515,133559,127527,,,,,2
4,0,0,0,1,2,prac,1,1,m,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),150852.5,I,m,671,3,1,24.bmp,-120,-120,25.bmp,120,-120,26.bmp,-120,120,27.bmp,120,120,9494.0,141358.5,8006,no,SM,B,24.bmp,120,120,142039,136011,144055,138024,,,,,3
2,0,1,0,0,3,prac,1,1,z,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),160816.09999999963,I,z,1134,4,1,28.bmp,-120,-120,29.bmp,120,-120,30.bmp,-120,120,31.bmp,120,120,9960.200000000186,150855.89999999944,8006,yes,SM,B,29.bmp,120,-120,151536,145508,153552,147521,,,,,4
3,0,0,1,0,4,prac,1,1,z,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),170779.7999999998,I,z,1146,5,1,32.bmp,-120,-120,33.bmp,120,-120,34.bmp,-120,120,35.bmp,120,120,9960.5,160819.2999999998,8006,yes,SM,B,34.bmp,-120,120,161500,155472,163516,157484,,,,,5
1,1,0,0,0,4,prac,1,0,m,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),180426.5,I,z,823,6,1,36.bmp,-120,-120,37.bmp,120,-120,38.bmp,-120,120,39.bmp,120,120,9643.200000000186,170783.2999999998,8006,no,SM,B,39.bmp,-120,-120,171463,165436,173479,167448,,,,,6
2,0,1,0,0,5,prac,1,1,m,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),190373.59999999963,I,m,1128,7,1,40.bmp,-120,-120,41.bmp,120,-120,42.bmp,-120,120,43.bmp,120,120,9943.799999999814,180429.7999999998,8006,no,SM,B,40.bmp,120,-120,181110,175082,183126,177095,,,,,7
4,0,0,0,1,5,prac,1,0,z,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),201170.19999999925,I,m,1974,8,1,44.bmp,-120,-120,45.bmp,120,-120,46.bmp,-120,120,47.bmp,120,120,10792.699999999255,190377.5,8006,yes,SM,B,47.bmp,120,120,191057,185030,193073,187042,,,,,8
4,0,0,0,1,1,test,1,1,m,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),227728.39999999944,I,m,1235,1,1,48.bmp,-120,-120,49.bmp,120,-120,50.bmp,-120,120,43.bmp,120,120,9294.700000000186,218433.69999999925,8006,yes,SM,B,50.bmp,120,120,191057,185030,193073,187042,219115.0,213086.0,221131.0,215100.0,1
2,0,1,0,0,2,test,1,1,m,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),237142.19999999925,I,m,1362,2,1,1.bmp,-120,-120,2.bmp,120,-120,3.bmp,-120,120,4.bmp,120,120,9410.599999999627,227731.59999999963,8006,yes,SM,B,3.bmp,120,-120,191057,185030,193073,187042,228412.0,222384.0,230428.0,224397.0,2
1,1,0,0,0,3,test,1,1,z,Fri Sep 20 2024 18:12:05 GMT-0500 (Central Daylight Time),246755.7999999998,I,z,1556,3,1,5.bmp,-120,-120,6.bmp,120,-120,7.bmp,-120,120,8.bmp,120,120,9610.400000000373,237145.39999999944,8006,yes,SM,B,5.bmp,-120,-120,191057,185030,193073,187042,237826.0,231798.0,239842.0,233811.0,3
